Date	Open	High	Low	Close	Volume	Ex-Dividend	Split Ratio	Adj. Open	Adj. High	Adj. Low	Adj. Close	Adj. Volume	+/-	% change	
2016-11-14	83.56	83.78	82.76	83.0	12862496.0	0.0	1.0	81.635794437	81.8507283141	80.8542167018	81.0886900223	12862496.0	-	-0.67017711835	
2016-11-15	84.58	84.58	82.88	83.62	9464037.0	0.0	1.0	82.6323060493	82.6323060493	80.9714533621	81.6944127671	9464037.0	-	-1.13502009933	
2016-11-16	83.98	84.2	83.17	83.19	8542909.0	0.0	1.0	82.0461227479	82.2610566251	81.2547752911	81.2743147344	8542909.0	-	-0.940700166748	
2016-11-17	83.27	83.5	82.93	83.07	9083724.0	0.0	1.0	81.352472508	81.5771761068	81.0203019705	81.1570780742	9083724.0	-	-0.240182538743	
2016-11-18	82.92	83.1	81.99	82.0	14565456.0	0.0	1.0	81.0105322488	81.1863872392	80.1019481317	80.1117178534	14565456.0	-	-1.10950313552	
2016-11-21	82.1	82.75	81.71	82.64	11482061.0	0.0	1.0	80.2094150703	80.8444469801	79.8283959244	80.7369800415	11482061.0	+	0.657734470121	
2016-11-22	83.01	83.1817	82.66	82.76	7426494.0	0.0	1.0	81.098459744	81.2662058654	80.7565194849	80.8542167018	7426494.0	-	-0.301168533867	
2016-11-23	82.59	82.93	82.52	82.68	10763830.0	0.0	1.0	80.6881314331	81.0203019705	80.6197433813	80.7760589283	10763830.0	+	0.108972030506	
2016-11-25	82.99	83.46	82.95	83.46	3883098.0	0.0	1.0	81.0789203007	81.5380972201	81.0398414139	81.5380972201	3883098.0	+	0.566333293163	
2016-11-28	83.13	83.36	82.755	83.07	6990064.0	0.0	1.0	81.2156964043	81.4404000032	80.849331841	81.1570780742	6990064.0	-	-0.0721761096626	
2016-11-29	83.42	83.48	82.69	82.89	6183113.0	0.0	1.0	81.4990183333	81.5576366634	80.78582865	80.9812230838	6183113.0	-	-0.635339247134	
2016-11-30	82.52	82.83	82.26	82.46	12115374.0	0.0	1.0	80.6197433813	80.9226047536	80.3657306173	80.5611250511	12115374.0	-	-0.0727096462249	
2016-12-01	82.21	82.32	81.18	81.86	12516920.0	0.0	1.0	80.3168820089	80.4243489475	79.3106006749	79.9749417498	12516920.0	-	-0.425738961159	
2016-12-02	82.35	82.68	82.07	82.4	9079412.0	0.0	1.0	80.4536581125	80.7760589283	80.1801059052	80.502506721	9079412.0	+	0.0607164542247	
2016-12-05	82.559	83.08	82.48	82.99	8597543.0	0.0	1.0	80.6578452958	81.1668477959	80.5806644945	81.0789203007	8597543.0	+	0.52205089704	
2016-12-06	83.24	83.25	82.61	82.91	7327194.0	0.0	1.0	81.3231633429	81.3329330646	80.7076708765	81.0007625271	7327194.0	-	-0.396444017359	
2016-12-07	82.74	84.28	82.711	84.18	8567706.0	0.0	1.0	80.8346772584	82.3392143986	80.8063450655	82.2415171817	8567706.0	+	1.74039158813	
2016-12-08	83.79	84.18	83.5	83.5	7507268.0	0.0	1.0	81.8604980358	82.2415171817	81.5771761068	81.5771761068	7507268.0	-	-0.34610335363	
2016-12-09	83.519	84.4	83.47	84.37	8004453.0	0.0	1.0	81.595738578	82.4564510589	81.5478669418	82.4271418938	8004453.0	+	1.01892982439	
2016-12-12	84.21	85.1844	84.21	85.13	7493615.0	0.0	1.0	82.2708263468	83.2227880282	82.2708263468	83.1696407422	7493615.0	+	1.09250682813	
2016-12-13	84.67	85.36	84.53	85.18	11795940.0	0.0	1.0	82.7202335445	83.3943443411	82.5834574408	83.2184893506	11795940.0	+	0.602338490536	
2016-12-14	85.29	85.74	84.17	84.37	12291445.0	0.0	1.0	83.3259562892	83.7655937653	82.23174746	82.4271418938	12291445.0	-	-1.07867276348	
2016-12-15	84.15	84.8	83.61	84.68	8768128.0	0.0	1.0	82.2122080166	82.8472399264	81.6846430454	82.7300032662	8768128.0	+	0.629827688724	
2016-12-16	84.9	85.12	84.15	84.68	21172420.0	0.0	1.0	82.9449371433	83.1598710205	82.2122080166	82.7300032662	21172420.0	-	-0.259128386255	
2016-12-19	84.75	84.975	84.32	84.71	6431166.0	0.0	1.0	82.798391318	83.018210056	82.3782932854	82.7593124312	6431166.0	-	-0.047197640169	
2016-12-20	84.57	84.71	84.19	84.57	7485433.0	0.0	1.0	82.6225363276	82.7593124312	82.2512869034	82.6225363276	7485433.0	-	0.0	
2016-12-21	84.19	84.725	84.12	84.28	6099334.0	0.0	1.0	82.2512869034	82.7739670138	82.1828988516	82.3392143986	6099334.0	+	0.106901057127	
2016-12-22	84.0	84.61	83.87	84.47	7864777.0	0.0	1.0	82.0656621913	82.6616152143	81.9386558093	82.5248391107	7864777.0	+	0.559523809519	
2016-12-23	84.68	85.18	84.55	84.96	5283719.0	0.0	1.0	82.7300032662	83.2184893506	82.6029968842	83.0035554735	5283719.0	+	0.330656589508	
2016-12-27	84.8984	84.94	84.42	84.6	3782537.0	0.0	1.0	82.9433739879	82.9840160301	82.4759905022	82.6518454927	3782537.0	-	-0.351478944228	
2016-12-28	84.4	84.63	83.945	84.07	4298812.0	0.0	1.0	82.4564510589	82.6811546577	82.011928722	82.1340502431	4298812.0	-	-0.390995260722	
2016-12-29	84.24	84.49	84.1	84.35	3718306.0	0.0	1.0	82.3001355118	82.5443785541	82.1633594082	82.4076024504	3718306.0	+	0.130579297266	
2016-12-30	84.17	84.45	83.92	84.08	6209846.0	0.0	1.0	82.23174746	82.5052996673	81.9875044178	82.1438199648	6209846.0	-	-0.106926458352	
2017-01-03	83.88	84.39	83.5	84.2	8792706.0	0.0	1.0	81.948425531	82.4466813372	81.5771761068	82.2610566251	8792706.0	+	0.381497377252	
2017-01-04	84.45	84.6016	84.2354	84.5	8096650.0	0.0	1.0	82.5052996673	82.6534086481	82.2956414399	82.5541482758	8096650.0	+	0.0592066312067	
2017-01-05	84.41	85.4274	84.38	85.06	6852435.0	0.0	1.0	82.4662207806	83.4601922652	82.4369116155	83.1012526904	6852435.0	+	0.770050941815	
2017-01-06	84.941	85.25	84.62	85.03	4799945.0	0.0	1.0	82.9849930023	83.2868774025	82.671384936	83.0719435253	4799945.0	+	0.104778610992	
