Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-12-14,71.9,72.48,71.18,71.34,8668778.0,0.0,1.0,70.9069861778,71.4789757742,70.1969301271,70.3547203606,8668778.0
2016-12-15,71.22,71.8,71.03,71.08,7136295.0,0.0,1.0,70.2363776854,70.8083672819,70.0490017832,70.0983112311,7136295.0
2016-12-16,71.07,71.64,70.595,70.98,17832196.0,0.0,1.0,70.0884493415,70.6505770484,69.6200095858,69.9996923352,17832196.0
2016-12-19,70.84,71.749,70.84,71.58,5889328.0,0.0,1.0,69.8616258809,70.7580716449,69.8616258809,70.5914057108,5889328.0
2016-12-20,71.73,71.9332,71.51,71.82,6108070.0,0.0,1.0,70.7393340547,70.9397276512,70.5223724836,70.828091061,6108070.0
2016-12-21,71.66,72.0,71.24,71.24,5100967.0,0.0,1.0,70.6703008276,71.0056050737,70.2561014646,70.2561014646,5100967.0
2016-12-22,71.24,71.24,69.21,69.59,12106081.0,0.0,1.0,70.2561014646,70.2561014646,68.2541378771,68.6288896817,12106081.0
2016-12-23,69.43,69.749,69.36,69.54,4803947.0,0.0,1.0,68.4710994482,68.7856937262,68.402066221,68.5795802337,4803947.0
2016-12-27,69.3,69.815,69.25,69.7,4435668.0,0.0,1.0,68.3428948835,68.8507821975,68.2935854355,68.7373704672,4435668.0
2016-12-28,69.94,70.0,69.26,69.31,4875301.0,0.0,1.0,68.9740558175,69.033227155,68.3034473251,68.3527567731,4875301.0
2016-12-29,69.21,69.52,69.12,69.26,4298446.0,0.0,1.0,68.2541378771,68.5598564545,68.1653808708,68.3034473251,4298446.0
2016-12-30,69.12,69.43,68.83,69.12,6889478.0,0.0,1.0,68.1653808708,68.4710994482,67.8793860726,68.1653808708,6889478.0
2017-01-03,69.24,69.24,68.05,68.66,10473162.0,0.0,1.0,68.2837235459,68.2837235459,67.1101586843,67.7117339495,10473162.0
2017-01-04,68.66,69.63,68.6,69.06,7914476.0,0.0,1.0,67.7117339495,68.6683372401,67.6525626119,68.1062095332,7914476.0
2017-01-05,68.43,69.33,68.12,69.21,7099169.0,0.0,1.0,67.4849104888,68.3724805522,67.1791919114,68.2541378771,7099169.0
2017-01-06,68.41,68.5,68.01,68.26,9491115.0,0.0,1.0,67.4651867096,67.553943716,67.0707111259,67.3172583657,9491115.0
2017-01-09,68.33,68.8,68.32,68.71,8684232.0,0.0,1.0,67.3862915929,67.8498004038,67.3764297033,67.7610433974,8684232.0
2017-01-10,68.64,69.27,68.22,68.23,10256492.0,0.0,1.0,67.6920101703,68.3133092147,67.2778108074,67.287672697,10256492.0
2017-01-11,68.2,68.62,68.19,68.53,6697593.0,0.0,1.0,67.2580870282,67.6722863911,67.2482251386,67.5835293848,6697593.0
2017-01-12,68.36,68.56,67.92,67.97,6544406.0,0.0,1.0,67.4158772617,67.6131150535,66.9819541196,67.0312635675,6544406.0
2017-01-13,67.98,68.02,67.08,67.13,10011997.0,0.0,1.0,67.0411254571,67.0805730155,66.1535553937,66.2028648417,10011997.0
2017-01-17,68.09,69.29,68.06,68.42,13167509.0,0.0,1.0,67.1496062426,68.3330329939,67.1200205739,67.4750485992,13167509.0
2017-01-18,67.88,68.11,67.54,68.11,7319956.0,0.0,1.0,66.9425065612,67.1693300218,66.607202315,67.1693300218,7319956.0
2017-01-19,68.13,68.19,67.48,67.62,6821078.0,0.0,1.0,67.189053801,67.2482251386,66.5480309774,66.6860974317,6821078.0
2017-01-20,67.74,67.83,67.02,67.18,11772489.0,0.0,1.0,66.8044401069,66.8931971132,66.0943840561,66.2521742896,11772489.0
2017-01-23,67.01,67.1799,66.56,66.65,7948927.0,0.0,1.0,66.0845221665,66.2520756707,65.6407371348,65.7294941412,7948927.0
2017-01-24,66.89,67.41,66.66,67.4,10710616.0,0.0,1.0,65.9661794914,66.4789977503,65.7393560308,66.4691358607,10710616.0
2017-01-25,67.52,67.73,66.79,66.89,8722855.0,0.0,1.0,66.5874785358,66.7945782173,65.8675605955,65.9661794914,8722855.0
2017-01-26,67.13,67.2239,66.62,66.73,6498087.0,0.0,1.0,66.2028648417,66.2954679849,65.6999084724,65.8083892579,6498087.0
2017-01-27,66.86,66.97,65.28,65.66,13433484.0,0.0,1.0,65.9365938226,66.0450746082,64.3784152668,64.7531670714,13433484.0
2017-01-30,65.63,66.48,65.63,66.42,8641001.0,0.0,1.0,64.7235814026,65.5618420181,64.7235814026,65.5026706805,8641001.0
2017-01-31,66.21,66.89,65.88,66.74,9320680.0,0.0,1.0,65.2955709991,65.9661794914,64.9701286425,65.8182511475,9320680.0
2017-02-01,66.46,66.7139,66.04,66.23,9048132.0,0.0,1.0,65.5421182389,65.7925116157,65.127918876,65.3152947782,9048132.0
2017-02-02,66.34,67.14,66.34,66.7,8998739.0,0.0,1.0,65.4237755638,66.2127267313,65.4237755638,65.7788035891,8998739.0
2017-02-03,66.82,66.93,66.445,66.5,7624330.0,0.0,1.0,65.8971462643,66.0056270498,65.5273254045,65.5815657973,7624330.0
2017-02-06,66.37,66.865,66.37,66.4,9096675.0,0.0,1.0,65.4533612325,65.9415247674,65.4533612325,65.4829469013,9096675.0
2017-02-07,66.56,67.0,66.51,66.89,5805722.0,0.0,1.0,65.6407371348,66.0746602769,65.5914276869,65.9661794914,5805722.0
2017-02-08,66.89,67.82,66.89,67.81,7660755.0,0.0,1.0,65.9661794914,66.8833352236,65.9661794914,66.873473334,7660755.0
2017-02-09,67.8,69.14,67.75,69.08,11080479.0,0.0,1.0,66.8636114444,68.18510465,66.8143019965,68.1259333124,11080479.0
2017-02-10,68.25,68.6,67.76,68.02,12445633.0,0.0,1.0,67.3073964761,67.6525626119,66.8241638861,67.0805730155,12445633.0
2017-02-13,68.32,68.65,67.56,67.77,8374307.0,0.0,1.0,67.3764297033,67.7018720599,66.6269260942,66.8340257757,8374307.0
2017-02-14,67.88,68.68,67.71,68.66,8460006.0,0.0,1.0,66.9425065612,67.7314577287,66.7748544381,67.7117339495,8460006.0
2017-02-15,67.76,68.71,67.76,68.69,8563295.0,0.0,1.0,66.8241638861,67.7610433974,66.8241638861,67.7413196183,8563295.0
2017-02-16,68.67,69.24,68.61,68.87,8413787.0,0.0,1.0,67.7215958391,68.2837235459,67.6624245015,67.9188336309,8413787.0
2017-02-17,68.83,69.785,68.695,69.37,12835357.0,0.0,1.0,67.8793860726,68.8211965288,67.7462505631,68.4119281106,12835357.0
2017-02-21,71.21,72.28,70.7,71.45,22412493.0,0.0,1.0,70.2265157958,71.2817379824,69.7235594266,70.4632011461,22412493.0
2017-02-22,72.25,72.37,71.48,71.71,15242674.0,0.0,1.0,71.2521523136,71.3704949887,70.4927868149,70.7196102755,15242674.0
2017-02-23,72.0,72.5,71.16,71.31,12799700.0,0.0,1.0,71.0056050737,71.4986995534,70.1772063479,70.3251346918,12799700.0
2017-02-24,71.34,72.8,71.3,72.39,13889852.0,0.0,1.0,70.3547203606,71.7945562412,70.3152728022,71.3902187679,13889852.0
2017-02-27,72.28,72.42,71.525,71.74,9254602.0,0.0,1.0,71.2817379824,71.4198044367,70.537165318,70.7491959443,9254602.0
2017-02-28,70.87,71.0,70.0,70.93,15952323.0,0.0,1.0,69.8912115497,70.0194161144,69.033227155,69.9503828872,15952323.0
2017-03-01,70.97,71.08,70.15,70.45,13522717.0,0.0,1.0,69.9898304456,70.0983112311,69.1811554989,69.4770121867,13522717.0
2017-03-02,70.42,70.9,70.17,70.76,8916204.0,0.0,1.0,69.4474265179,69.9207972184,69.2008792781,69.7827307641,8916204.0
2017-03-03,70.81,71.02,69.88,70.03,9303591.0,0.0,1.0,69.8320402121,70.0391398936,68.9148844799,69.0628128238,9303591.0
2017-03-06,70.0,70.435,69.78,69.88,9182575.0,0.0,1.0,69.033227155,69.4622193523,68.816265584,68.9148844799,9182575.0
2017-03-07,69.9,70.21,69.86,69.87,7282442.0,0.0,1.0,68.9346082591,69.2403268365,68.8951607007,68.9050225903,7282442.0
2017-03-08,69.69,70.03,69.54,69.8,7979841.0,0.51,1.0,69.2296723222,69.5674264992,69.0806631265,69.3389457324,7979841.0
2017-03-09,69.75,70.04,69.56,69.86,7564480.0,0.0,1.0,69.2892760005,69.5773604455,69.1005310193,69.3985494107,7564480.0
2017-03-10,70.0,70.365,69.8,70.1,7095829.0,0.0,1.0,69.53762466,69.9002137029,69.3389457324,69.6369641238,7095829.0
2017-03-13,69.99,70.45,69.71,69.95,6802511.0,0.0,1.0,69.5276907136,69.9846522471,69.249540215,69.4879549281,6802511.0
2017-03-14,70.82,71.205,70.72,70.72,9958370.0,0.0,1.0,70.3522082632,70.7346651988,70.2528687994,70.2528687994,9958370.0
2017-03-15,70.5,70.7,70.02,70.58,8813794.0,0.0,1.0,70.034321979,70.2330009066,69.5574925528,70.1137935501,8813794.0
2017-03-16,70.11,70.7,70.07,70.44,7060977.0,0.0,1.0,69.6468980702,70.2330009066,69.6071622847,69.9747183007,7060977.0
2017-03-17,70.58,70.7501,69.81,69.89,14078353.0,0.0,1.0,70.1137935501,70.282769978,69.3488796788,69.4283512498,14078353.0
2017-03-20,70.14,70.45,69.71,69.98,7466226.0,0.0,1.0,69.6766999093,69.9846522471,69.249540215,69.5177567673,7466226.0
