"Date"	"Tweet Prediction Date"	"Open"	"High"	"Low"	"Close"	"Volume"	"Ex-Dividend"	"Split Ratio"	"Adj. Open"	"Adj. High"	"Adj. Low"	"Adj. Close"	"Adj. Volume"	"+/-"	"% change"
"2016-08-12"	"2016-08-10"	"132.9"	"133.78"	"132.63"	"133.1"	"2522523.0"	"0.0"	"1.0"	"129.74975907699"	"130.60889969391"	"129.48615911499"	"129.94501830811"	"2522523.0"	"+"	"0.150489089544"
"2016-08-15"	"2016-08-13"	"133.7"	"135.0"	"133.55"	"134.66"	"2812634.0"	"0.0"	"1.0"	"130.53079600146"	"131.79998100372"	"130.38435157812"	"131.46804031082"	"2812634.0"	"+"	"0.718025430067"
"2016-08-16"	"2016-08-14"	"134.15"	"135.21"	"133.4"	"135.0"	"2759206.0"	"0.0"	"1.0"	"130.97012927147"	"132.00500319639"	"130.23790715478"	"131.79998100372"	"2759206.0"	"+"	"0.633619083119"
"2016-08-17"	"2016-08-15"	"134.85"	"134.99"	"134.111"	"134.72"	"2854630.0"	"0.0"	"1.0"	"131.65353658038"	"131.79021804216"	"130.9320537214"	"131.52661808015"	"2854630.0"	"-"	"-0.0964034112008"
"2016-08-18"	"2016-08-16"	"134.72"	"135.96"	"134.53"	"135.0"	"2030826.0"	"0.0"	"1.0"	"131.52661808015"	"132.73722531308"	"131.34112181059"	"131.79998100372"	"2030826.0"	"+"	"0.207838479815"
"2016-08-19"	"2016-08-17"	"134.5"	"135.0"	"133.84"	"134.44"	"1922645.0"	"0.0"	"1.0"	"131.31183292593"	"131.79998100372"	"130.66747746324"	"131.25325515659"	"1922645.0"	"-"	"-0.0446096654313"
"2016-08-22"	"2016-08-20"	"134.3"	"135.67"	"133.84"	"134.99"	"2520722.0"	"0.0"	"1.0"	"131.11657369481"	"132.45409942796"	"130.66747746324"	"131.79021804216"	"2520722.0"	"+"	"0.513775130304"
"2016-08-23"	"2016-08-21"	"135.32"	"136.37"	"133.6414"	"134.14"	"3481863.0"	"0.0"	"1.0"	"132.1123957735"	"133.13750673687"	"130.47358504674"	"130.96036630992"	"3481863.0"	"-"	"-0.872007094289"
"2016-08-24"	"2016-08-22"	"134.01"	"134.65"	"133.07"	"133.29"	"2133381.0"	"0.0"	"1.0"	"130.83344780969"	"131.45827734926"	"129.91572942344"	"130.13051457767"	"2133381.0"	"-"	"-0.537273337811"
"2016-08-25"	"2016-08-23"	"133.3"	"133.3"	"132.42"	"132.98"	"1921322.0"	"0.0"	"1.0"	"130.14027753923"	"130.14027753923"	"129.28113692231"	"129.82786276944"	"1921322.0"	"-"	"-0.240060015006"
"2016-08-26"	"2016-08-24"	"133.5"	"134.08"	"131.82"	"132.23"	"1973740.0"	"0.0"	"1.0"	"130.33553677034"	"130.90178854058"	"128.69535922896"	"129.09564065275"	"1973740.0"	"-"	"-0.951310861423"
"2016-08-29"	"2016-08-27"	"132.72"	"133.58"	"132.32"	"132.9"	"2380035.0"	"0.0"	"1.0"	"129.57402576899"	"130.41364046279"	"129.18350730676"	"129.74975907699"	"2380035.0"	"+"	"0.135623869797"
"2016-08-30"	"2016-08-28"	"133.19"	"133.44"	"130.68"	"130.81"	"3437290.0"	"0.0"	"1.0"	"130.03288496211"	"130.27695900101"	"127.5823816116"	"127.70930011182"	"3437290.0"	"-"	"-1.78692094001"
"2016-08-31"	"2016-08-29"	"130.83"	"130.83"	"129.14"	"129.45"	"3639176.0"	"0.0"	"1.0"	"127.72882603494"	"127.72882603494"	"126.078885532"	"126.38153734023"	"3639176.0"	"-"	"-1.05480394405"
"2016-09-01"	"2016-08-30"	"130.03"	"130.03"	"128.36"	"129.9"	"2807237.0"	"0.0"	"1.0"	"126.94778911047"	"126.94778911047"	"125.31737453065"	"126.82087061024"	"2807237.0"	"-"	"-0.0999769284044"
"2016-09-02"	"2016-08-31"	"130.89"	"131.96"	"130.58"	"131.16"	"2631047.0"	"0.0"	"1.0"	"127.78740380427"	"128.83204069075"	"127.48475199604"	"128.05100376628"	"2631047.0"	"+"	"0.206280082514"
"2016-09-06"	"2016-09-04"	"131.63"	"132.99"	"131.27"	"132.99"	"4151796.0"	"0.0"	"1.0"	"128.5098629594"	"129.837625731"	"128.15839634339"	"129.837625731"	"4151796.0"	"+"	"1.03319911875"
"2016-09-07"	"2016-09-05"	"132.48"	"133.08"	"132.0"	"132.64"	"2198386.0"	"0.0"	"1.0"	"129.33971469165"	"129.925492385"	"128.87109253697"	"129.49592207654"	"2198386.0"	"+"	"0.120772946857"
"2016-09-08"	"2016-09-06"	"132.32"	"132.91"	"131.51"	"132.9"	"2618307.0"	"0.0"	"1.0"	"129.18350730676"	"129.75952203855"	"128.39270742073"	"129.74975907699"	"2618307.0"	"+"	"0.438331318011"
"2016-09-09"	"2016-09-07"	"131.94"	"131.94"	"128.52"	"128.53"	"4892944.0"	"0.0"	"1.0"	"128.81251476763"	"128.81251476763"	"125.47358191554"	"125.4833448771"	"4892944.0"	"-"	"-2.58450810974"
"2016-09-12"	"2016-09-10"	"126.878"	"130.68"	"126.31"	"130.12"	"6381112.0"	"0.0"	"1.0"	"123.87050362807"	"127.5823816116"	"123.3159674117"	"127.03565576447"	"6381112.0"	"+"	"2.55521051719"
"2016-09-13"	"2016-09-11"	"129.22"	"130.02"	"128.26"	"128.76"	"4552399.0"	"0.0"	"1.0"	"126.15698922445"	"126.93802614891"	"125.21974491509"	"125.70789299288"	"4552399.0"	"-"	"-0.355982046124"
"2016-09-14"	"2016-09-12"	"128.91"	"129.31"	"127.34"	"127.67"	"3955392.0"	"0.0"	"1.0"	"125.85433741622"	"126.24485587845"	"124.32155245195"	"124.64373018329"	"3955392.0"	"-"	"-0.961911411067"
"2016-09-15"	"2016-09-13"	"127.57"	"128.46"	"126.9356"	"127.77"	"3476584.0"	"0.0"	"1.0"	"124.54610056774"	"125.4150041462"	"123.92673828663"	"124.74135979885"	"3476584.0"	"+"	"0.156776671626"
"2016-09-16"	"2016-09-14"	"127.71"	"127.71"	"126.34"	"126.7"	"8035566.0"	"0.0"	"1.0"	"124.68278202952"	"124.68278202952"	"123.34525629637"	"123.69672291238"	"8035566.0"	"-"	"-0.790854279227"
"2016-09-19"	"2016-09-17"	"127.5"	"128.3"	"127.27"	"127.48"	"3168098.0"	"0.0"	"1.0"	"124.47775983684"	"125.25879676131"	"124.25321172106"	"124.45823391373"	"3168098.0"	"-"	"-0.0156862745085"
"2016-09-20"	"2016-09-18"	"127.95"	"128.5"	"127.57"	"127.79"	"2639279.0"	"0.0"	"1.0"	"124.91709310686"	"125.45405599243"	"124.54610056774"	"124.76088572196"	"2639279.0"	"-"	"-0.125048847211"
"2016-09-21"	"2016-09-19"	"128.18"	"130.63"	"128.18"	"130.56"	"3227758.0"	"0.0"	"1.0"	"125.14164122264"	"127.53356680382"	"125.14164122264"	"127.46522607293"	"3227758.0"	"+"	"1.85676392573"
"2016-09-22"	"2016-09-20"	"131.45"	"132.48"	"131.17"	"131.87"	"3252392.0"	"0.0"	"1.0"	"128.3341296514"	"129.33971469165"	"128.06076672783"	"128.74417403674"	"3252392.0"	"+"	"0.319513122857"
"2016-09-23"	"2016-09-21"	"131.25"	"132.2871"	"131.01"	"131.78"	"2330320.0"	"0.0"	"1.0"	"128.13887042028"	"129.15138716324"	"127.90455934294"	"128.65630738274"	"2330320.0"	"+"	"0.40380952381"
"2016-09-26"	"2016-09-24"	"131.07"	"131.58"	"130.43"	"130.57"	"2219885.0"	"0.0"	"1.0"	"127.96313711228"	"128.46104815162"	"127.3383075727"	"127.47498903448"	"2219885.0"	"-"	"-0.381475547424"
"2016-09-27"	"2016-09-25"	"130.29"	"131.74"	"129.86"	"131.32"	"1939020.0"	"0.0"	"1.0"	"127.20162611092"	"128.61725553652"	"126.78181876402"	"128.20721115117"	"1939020.0"	"+"	"0.790544170696"
"2016-09-28"	"2016-09-26"	"131.59"	"132.36"	"130.59"	"132.23"	"1769529.0"	"0.0"	"1.0"	"128.47081111318"	"129.22255915298"	"127.4945149576"	"129.09564065275"	"1769529.0"	"+"	"0.486359145829"
"2016-09-29"	"2016-09-27"	"131.8"	"132.78"	"130.68"	"131.03"	"2199245.0"	"0.0"	"1.0"	"128.67583330585"	"129.63260353832"	"127.5823816116"	"127.92408526605"	"2199245.0"	"-"	"-0.584218512899"
"2016-09-30"	"2016-09-28"	"132.09"	"132.63"	"131.2701"	"131.74"	"3117139.0"	"0.0"	"1.0"	"128.95895919097"	"129.48615911499"	"128.15849397301"	"128.61725553652"	"3117139.0"	"-"	"-0.264970853203"
"2016-10-03"	"2016-10-01"	"131.28"	"132.72"	"130.74"	"132.38"	"2435765.0"	"0.0"	"1.0"	"128.16815930495"	"129.57402576899"	"127.64095938093"	"129.24208507609"	"2435765.0"	"+"	"0.837903717244"
"2016-10-04"	"2016-10-02"	"132.77"	"133.2313"	"131.69"	"132.25"	"2829188.0"	"0.0"	"1.0"	"129.62284057677"	"130.07320599334"	"128.56844072874"	"129.11516657586"	"2829188.0"	"-"	"-0.391654741287"
