"Date"	"Tweet Prediction Date"	"Open"	"High"	"Low"	"Close"	"Volume"	"Ex-Dividend"	"Split Ratio"	"Adj. Open"	"Adj. High"	"Adj. Low"	"Adj. Close"
"2016-10-21"	"2016-10-18"	"820.0"	"824.29"	"818.31"	"824.06"	"1615814.0"	"0.0"	"1.0"	"820.0"	"824.29"	"818.31"	"824.06"
"2016-10-24"	"2016-10-21"	"830.09"	"837.94"	"829.04"	"835.74"	"1447616.0"	"0.0"	"1.0"	"830.09"	"837.94"	"829.04"	"835.74"
"2016-10-25"	"2016-10-22"	"838.5"	"838.5"	"825.3005"	"828.55"	"1890712.0"	"0.0"	"1.0"	"838.5"	"838.5"	"825.3005"	"828.55"
"2016-10-26"	"2016-10-23"	"827.12"	"827.71"	"816.35"	"822.1"	"1794868.0"	"0.0"	"1.0"	"827.12"	"827.71"	"816.35"	"822.1"
"2016-10-27"	"2016-10-24"	"823.01"	"826.58"	"814.61"	"817.35"	"2973486.0"	"0.0"	"1.0"	"823.01"	"826.58"	"814.61"	"817.35"
"2016-10-28"	"2016-10-25"	"829.94"	"839.0"	"817.0"	"819.56"	"4354884.0"	"0.0"	"1.0"	"829.94"	"839.0"	"817.0"	"819.56"
"2016-10-31"	"2016-10-28"	"822.43"	"822.63"	"808.0"	"809.9"	"2242679.0"	"0.0"	"1.0"	"822.43"	"822.63"	"808.0"	"809.9"
"2016-11-01"	"2016-10-29"	"810.87"	"813.96"	"798.26"	"805.48"	"2355890.0"	"0.0"	"1.0"	"810.87"	"813.96"	"798.26"	"805.48"
"2016-11-02"	"2016-10-30"	"806.76"	"806.76"	"785.0"	"788.42"	"2350736.0"	"0.0"	"1.0"	"806.76"	"806.76"	"785.0"	"788.42"
"2016-11-03"	"2016-10-31"	"784.5"	"790.0"	"778.63"	"782.19"	"2175216.0"	"0.0"	"1.0"	"784.5"	"790.0"	"778.63"	"782.19"
"2016-11-04"	"2016-11-01"	"771.3"	"788.48"	"771.0043"	"781.1"	"1970603.0"	"0.0"	"1.0"	"771.3"	"788.48"	"771.0043"	"781.1"
"2016-11-07"	"2016-11-04"	"794.95"	"805.0"	"792.9"	"802.03"	"1992570.0"	"0.0"	"1.0"	"794.95"	"805.0"	"792.9"	"802.03"
"2016-11-08"	"2016-11-05"	"802.03"	"816.04"	"799.62"	"811.98"	"1769069.0"	"0.0"	"1.0"	"802.03"	"816.04"	"799.62"	"811.98"
"2016-11-09"	"2016-11-06"	"801.83"	"811.71"	"792.035"	"805.59"	"3098510.0"	"0.0"	"1.0"	"801.83"	"811.71"	"792.035"	"805.59"
"2016-11-10"	"2016-11-07"	"810.0"	"810.06"	"768.23"	"780.29"	"5909609.0"	"0.0"	"1.0"	"810.0"	"810.06"	"768.23"	"780.29"
"2016-11-11"	"2016-11-08"	"776.81"	"777.29"	"765.54"	"771.75"	"3592641.0"	"0.0"	"1.0"	"776.81"	"777.29"	"765.54"	"771.75"
"2016-11-14"	"2016-11-11"	"771.76"	"771.78"	"743.59"	"753.22"	"3688274.0"	"0.0"	"1.0"	"771.76"	"771.78"	"743.59"	"753.22"
"2016-11-15"	"2016-11-12"	"765.47"	"780.2376"	"765.22"	"775.16"	"2943889.0"	"0.0"	"1.0"	"765.47"	"780.2376"	"765.22"	"775.16"
"2016-11-16"	"2016-11-13"	"781.84"	"783.5"	"766.33"	"779.98"	"1798360.0"	"0.0"	"1.0"	"781.84"	"783.5"	"766.33"	"779.98"
"2016-11-17"	"2016-11-14"	"782.5"	"788.9"	"779.85"	"786.16"	"1533679.0"	"0.0"	"1.0"	"782.5"	"788.9"	"779.85"	"786.16"
"2016-11-18"	"2016-11-15"	"787.17"	"791.29"	"775.35"	"775.97"	"1806264.0"	"0.0"	"1.0"	"787.17"	"791.29"	"775.35"	"775.97"
"2016-11-21"	"2016-11-18"	"778.1"	"786.55"	"776.3"	"784.8"	"1630835.0"	"0.0"	"1.0"	"778.1"	"786.55"	"776.3"	"784.8"
"2016-11-22"	"2016-11-19"	"788.99"	"793.77"	"783.74"	"785.0"	"1394174.0"	"0.0"	"1.0"	"788.99"	"793.77"	"783.74"	"785.0"
"2016-11-23"	"2016-11-20"	"789.52"	"789.52"	"772.65"	"779.0"	"1312981.0"	"0.0"	"1.0"	"789.52"	"789.52"	"772.65"	"779.0"
"2016-11-25"	"2016-11-22"	"782.61"	"782.9"	"778.19"	"780.23"	"613549.0"	"0.0"	"1.0"	"782.61"	"782.9"	"778.19"	"780.23"
"2016-11-28"	"2016-11-25"	"778.35"	"799.74"	"778.1"	"785.79"	"2575432.0"	"0.0"	"1.0"	"778.35"	"799.74"	"778.1"	"785.79"
"2016-11-29"	"2016-11-26"	"788.38"	"796.44"	"785.34"	"789.44"	"1561981.0"	"0.0"	"1.0"	"788.38"	"796.44"	"785.34"	"789.44"
"2016-11-30"	"2016-11-27"	"789.1"	"791.51"	"773.145"	"775.88"	"2279054.0"	"0.0"	"1.0"	"789.1"	"791.51"	"773.145"	"775.88"
"2016-12-01"	"2016-11-28"	"778.55"	"778.6"	"753.36"	"764.33"	"2867074.0"	"0.0"	"1.0"	"778.55"	"778.6"	"753.36"	"764.33"
"2016-12-02"	"2016-11-29"	"761.9"	"770.5"	"759.0"	"764.46"	"1718846.0"	"0.0"	"1.0"	"761.9"	"770.5"	"759.0"	"764.46"
"2016-12-05"	"2016-12-02"	"770.0"	"780.0"	"766.9686"	"778.22"	"1688473.0"	"0.0"	"1.0"	"770.0"	"780.0"	"766.9686"	"778.22"
"2016-12-06"	"2016-12-03"	"780.19"	"785.28"	"773.32"	"776.18"	"1734099.0"	"0.0"	"1.0"	"780.19"	"785.28"	"773.32"	"776.18"
"2016-12-07"	"2016-12-04"	"779.95"	"792.0"	"773.53"	"791.47"	"2029415.0"	"0.0"	"1.0"	"779.95"	"792.0"	"773.53"	"791.47"
"2016-12-08"	"2016-12-05"	"792.95"	"799.0"	"787.905"	"795.17"	"1612531.0"	"0.0"	"1.0"	"792.95"	"799.0"	"787.905"	"795.17"
