2-faced,farced_facet_fazed_faces_face_
bitchy,bad-tempered_catty_despiteful_hateful_malevolent_
biting,penetrating_bitter_harsh_bleak_crisp_
bitingly,acerbically_acrimoniously_caustically_maliciously_sneeringly_
bitter,sour_harsh_astringent_acid_tart_
bitterly,hardly_reluctantly_slowly_sorely_keenly_
bitterness,acidity_acridity_tartness_sharpness_acerbity_
bizarre,unusual_ridiculous_freakish_ludicrous_grotesque_
blab,divulge_disclose_blather_gab_reveal_
blabber,babble_prattle_jabber_nonsense_gabble_
blackmail,extortion_bribe_ransom_protection_tribute_
blah,pedestrian_boring_humdrum_monotone_bland_
blame,criticism_animadversion_reprehension_disparagement_accusation_
blameworthy,at fault_blamable_censurable_culpable_guilty_
bland,tedious_watery_insipid_boring_wishy-washy_
blandish,urge_wheedle_allure_coax_entice_
blaspheme,cuss_swear_revile_talk dirty_
blasphemous,sacrilegious_profane_disrespectful_insulting_godless_
blasphemy,heresy_desecration_sacrilege_swearing_execration_
blasted,confounded_blessed_bloody_cursed_damn_
blatant,outright_overt_flagrant_conspicuous_unabashed_
blatantly,willingly_plainly_publicly_candidly_fully_
blather,babble_chatter_nonsense_stir_prattle_
bleak,desolate_austere_dreary_chilly_cold_
bleakly,bleaker_clerkly_legally_sleekly_balky_
bleakness,distress_dreariness_downheartedness_dole_mortification_
bleed,trickle_weep_ooze_drain_run_
bleeding,trickle_weep_ooze_drain_run_
bleeds,trickle_weep_ooze_drain_run_
blemish,freckle_blot_bruise_wart_blotch_
blind,dark_eyeless_purblind_unseeing_unsighted_
blinding,garish_blatant_blazing_shining_glowing_
blindingly,blunderingly_blindly_blending_blendings_slantingly_
blindside,bushwhack_catch unaware_hit unexpectedly_sucker-punch_
blister,abscess_sore_welt_ulcer_cyst_
blistering,scalding_scorching_searing_sizzling_torrid_
bloated,distended_arrogant_pompous_stuffy_turgid_
blockage,stoppage_jam_traverse_clog_bar_
blockhead,bonehead_fool_screwball_jackass_dunce_
bloodshed,murder_massacre_fighting_killing_bloodbath_
bloodthirsty,ruthless_homicidal_barbaric_cruel_inhuman_
bloody,bloodstained_gory_grisly_crimson_wounded_
blotchy,mottled_spotted_
blow,hurricane_gust_squall_gale_flurry_
blunder,goof_fault_lapse_indiscretion_blooper_
blundering,bumble_bungle_err_flounder_blow_
blunders,goof_fault_lapse_indiscretion_blooper_
blunt,dulled_rounded_dull_round_insensitive_
blur,dim_obscure_darken_muddy_soften_
bluring,blaring_luring_blurrings_burring_louring_
blurred,dim_obscure_darken_muddy_soften_
blurring,dim_obscure_darken_muddy_soften_
blurry,fuzzy_cloudy_bleary_filmy_foggy_
blurs,dim_obscure_darken_muddy_soften_
blurt,exclaim_disclose_reveal_babble_leak_
boastful,bombastic_pretentious_cocky_exultant_pompous_
boggle,startle_flabbergast_astound_overwhelm_amaze_
bogus,spurious_phony_fraudulent_fictitious_forged_
boil,blister_abscess_carbuncle_tumor_sore_
boiling,sizzling_scalding_baking_fiery_scorching_
boisterous,uproarious_vociferous_rambunctious_rowdy_rollicking_
bomb,explosive_rocket_mine_missile_projectile_
bombard,hound_bomb_besiege_pester_blitz_
bombardment,onslaught_blitz_assault_attack_bombing_
bombastic,grandiose_rhapsodic_histrionic_aureate_balderdash_
bondage,yoke_servitude_enslavement_serfdom_thralldom_
bonkers,gaga_bats_
bore,pain in the neck_wimp_pain_nag_yawn_
bored,disinterested_fatigued_tired_dull_
boredom,tedium_lethargy_apathy_fatigue_monotony_
